iter	MultiClass
192	0.168881561
193	0.1682316659
194	0.1677050497
195	0.1671611577
196	0.1662579678
197	0.1651831616
198	0.1646376972
199	0.1640895799
200	0.1636616906
201	0.162972842
202	0.1619885806
203	0.1607617105
204	0.1601669046
205	0.1594079573
206	0.1585859732
207	0.1578450144
208	0.1574773022
209	0.1567611516
210	0.155877033
211	0.1550937256
212	0.1545579559
213	0.1538140127
214	0.1530807619
215	0.1525216275
216	0.1516295602
217	0.1510819144
218	0.1509495901
219	0.1504201794
220	0.1497256733
221	0.149169515
222	0.1487764098
223	0.1479625014
224	0.1473425789
225	0.1466535788
226	0.1460944392
227	0.1458743999
228	0.1454870865
229	0.1445808944
230	0.1440398387
231	0.1433226192
232	0.1430888223
233	0.1423406832
234	0.1416129557
235	0.1413134811
236	0.1408776238
237	0.1404215909
238	0.1399262697
239	0.1395596445
240	0.1388549087
241	0.1385569671
242	0.1382250506
243	0.1375111005
244	0.1370367633
245	0.1367438548
246	0.1362588417
247	0.1359176692
248	0.1354231652
249	0.1348257931
250	0.1343384206
251	0.1339503381
252	0.1334474413
253	0.1325361269
254	0.1323028817
255	0.1313481498
256	0.1306442159
257	0.1302264848
258	0.129734282
259	0.1290549236
260	0.1288227902
261	0.1283643224
262	0.1280317051
263	0.1276232789
264	0.1272512932
265	0.1267967498
266	0.1262889486
267	0.1259156111
268	0.1255990159
269	0.1254643382
270	0.1250474914
271	0.1247833684
272	0.1245313813
273	0.1239904234
274	0.1234781375
275	0.1230144648
276	0.1224192771
277	0.1220164968
278	0.1216595246
279	0.1211469301
280	0.120851806
281	0.120754049
282	0.1201453198
283	0.1196718815
284	0.1193155896
285	0.1190907241
286	0.1184630891
287	0.1179023235
288	0.1171067956
289	0.1167678492
290	0.1162449796
291	0.1158087224
292	0.114990568
293	0.1145998158
294	0.1142404932
295	0.1138394762
296	0.1135526269
297	0.113020541
298	0.1126207071
299	0.112292399
300	0.1117953138
301	0.1112817144
302	0.1110511391
303	0.1105483907
304	0.1098803055
305	0.1092315303
306	0.1090417139
307	0.1086080341
308	0.1084680421
309	0.1081913728
310	0.107978515
311	0.1076646635
312	0.1073605622
313	0.1071774317
314	0.1069341148
315	0.1063890872
316	0.1059266847
317	0.1054472831
318	0.1050766378
319	0.1048917848
320	0.1045474445
321	0.1040777454
322	0.103725906
323	0.1035148695
324	0.1031437331
325	0.1029030873
326	0.102506233
327	0.1021542679
328	0.101989317
329	0.1016353368
330	0.1012787082
331	0.1011221196
332	0.1009249811
333	0.1006171773
334	0.1004406543
335	0.1001059349
336	0.09975536278
337	0.09945769578
338	0.09893825628
339	0.09848752751
340	0.09825695078
341	0.09782230742
342	0.09756095019
343	0.09717005385
344	0.09687956116
345	0.09664861126
346	0.09638399583
347	0.09617335146
348	0.09582409507
349	0.09551563164
350	0.09516217442
351	0.09504519947
352	0.0947308179
353	0.09449177435
354	0.09429230748
355	0.0942050441
356	0.09409020441
357	0.09363813242
358	0.09352695908
359	0.09326980964
360	0.09285657151
361	0.09252955808
362	0.09232396396
363	0.09197325832
364	0.0914958004
365	0.09131867781
366	0.09110905239
367	0.09088878243
368	0.0906364788
369	0.09048306243
370	0.09036834335
371	0.09019474571
372	0.08990447752
373	0.08951664749
374	0.08930791522
375	0.0891218579
376	0.08886427168
377	0.08850022168
378	0.08833399612
379	0.08825861014
380	0.08794972104
381	0.0878891963
382	0.08774887932
383	0.08752086057
384	0.08738427032
385	0.08721127898
386	0.08690266721
387	0.08668084021
388	0.08640596736
389	0.08628040394
390	0.08597945573
391	0.08581681102
392	0.08555222952
393	0.08525520606
394	0.0850694022
395	0.08471051632
396	0.08456900511
397	0.08431445561
398	0.08400166223
399	0.08388711
400	0.08364880912
401	0.08355161173
402	0.08328915763
403	0.08300561632
404	0.082896172
405	0.08268347874
406	0.08238126012
407	0.08217489704
408	0.08192470064
409	0.08173613305
410	0.08156482663
411	0.08143942668
412	0.08126494736
413	0.08111108184
414	0.08095662118
415	0.08076838202
416	0.08049309198
417	0.08015341573
418	0.07995540018
419	0.07962993791
420	0.07948587713
421	0.07931218775
422	0.0791859478
423	0.07902502536
424	0.07883918167
425	0.07869531192
426	0.07839074234
427	0.07834068627
428	0.07820974283
429	0.07800018864
430	0.07783916794
431	0.07771542653
432	0.0775640761
433	0.0774801463
434	0.07735281724
435	0.07720900518
436	0.0770833133
437	0.07701587494
438	0.07681074192
439	0.07662332047
440	0.07643886834
441	0.07620604088
442	0.07592841013
443	0.07581523732
444	0.07558874277
445	0.0753009799
446	0.07510667388
447	0.07488867022
448	0.07481431146
449	0.07457939062
450	0.0743239679
451	0.07394819038
452	0.07382153909
453	0.07364669016
454	0.07347592098
455	0.07330757459
456	0.07315492937
457	0.0729680545
458	0.07270091357
459	0.07259017355
460	0.07245350951
461	0.07212380463
462	0.07198948245
463	0.07187726109
464	0.07179692419
465	0.07156270972
466	0.07136727563
467	0.07123626901
468	0.07098134102
469	0.07082028745
470	0.07065777667
471	0.07048822662
472	0.07038238985
473	0.07030033639
474	0.070172391
475	0.07003809703
476	0.06979308092
477	0.06960814912
478	0.06942942176
479	0.06924704047
480	0.06913798679
481	0.06891499495
482	0.06884152135
483	0.06872893419
484	0.06860515374
485	0.06852627808
486	0.06829444859
487	0.0681327964
488	0.06803162995
489	0.06794689587
490	0.0678935943
491	0.06781814079
492	0.06759036004
493	0.06750832876
494	0.06733123815
495	0.06724471745
496	0.06700331993
497	0.06685040459
498	0.06678145589
499	0.06669496146
500	0.06659922486
501	0.06638243934
502	0.06621304671
503	0.06607910228
504	0.06597273454
505	0.06586284219
506	0.06572577505
507	0.06557603961
508	0.06541432218
509	0.06526737538
510	0.06499421406
511	0.06490640559
512	0.06481400313
513	0.06469654644
514	0.06457771124
515	0.06449860172
516	0.06438521607
517	0.06424758353
518	0.0639926316
519	0.06376038325
520	0.06355508833
521	0.06334233646
522	0.06325388566
523	0.06318909614
524	0.06313551073
525	0.06294054886
526	0.06283106024
527	0.06266047527
528	0.06261459505
529	0.06247724262
530	0.06231022298
531	0.06206921501
532	0.06193865029
533	0.06186224757
534	0.06169089122
535	0.06160252578
536	0.06147821241
537	0.06141762843
538	0.06133168675
539	0.0610861277
540	0.06094601068
541	0.06085932536
542	0.06078382199
543	0.06073450446
544	0.06055320673
545	0.06037171396
546	0.06029798767
547	0.06023452018
548	0.06009031011
549	0.05998103818
550	0.05985843625
551	0.05981036235
552	0.05972457719
553	0.05957763086
554	0.05942784849
555	0.05923701532
556	0.05917432244
557	0.05900871057
558	0.05891179302
559	0.05884262136
560	0.05871961176
561	0.05867827255
562	0.05851109381
563	0.0583797773
564	0.05820478594
565	0.05816413522
566	0.0579200711
567	0.05773390301
568	0.0576323507
569	0.05755096071
570	0.05750786096
571	0.05737188987
572	0.0572988284
573	0.05714466736
574	0.05705651095
575	0.05693784192
576	0.05677438436
577	0.05671115647
578	0.05652705022
579	0.05646452957
580	0.05635156621
581	0.05620953632
582	0.05615006982
583	0.05596148373
584	0.05584156587
585	0.0557212332
586	0.05557076915
587	0.05547182972
588	0.05542324361
589	0.05530346801
590	0.05516067307
591	0.05504052574
592	0.0549345093
593	0.05483233411
594	0.05470896453
595	0.05454347571
596	0.05439569206
597	0.05429037989
598	0.05419512717
599	0.05416733906
600	0.05402158556
601	0.05394937427
602	0.05382119193
603	0.05370497176
604	0.05361632669
605	0.0535034165
606	0.05336352857
607	0.05331766264
608	0.05312851848
609	0.05304072721
610	0.05293726984
611	0.05287324697
612	0.052751264
613	0.05270700926
614	0.05245806358
615	0.05238378395
616	0.0523080881
617	0.05219437088
618	0.05215769543
619	0.05209062935
620	0.05202873832
621	0.05195527697
622	0.05186089796
623	0.05179166642
624	0.0517160818
625	0.05160601605
626	0.05150826889
627	0.0514220735
628	0.05135344628
629	0.05129996858
630	0.05116780496
631	0.05110646027
632	0.0510462928
633	0.0509833553
634	0.05090152973
635	0.05085834017
636	0.05073303964
637	0.05062477731
638	0.05043482761
639	0.05034060554
640	0.0501825082
641	0.04997970621
642	0.04992186266
643	0.04984887949
644	0.04983050989
645	0.0497714821
646	0.04966296604
647	0.04954320758
648	0.04944128572
649	0.04930349674
650	0.04919354884
651	0.04909978874
652	0.04903676393
653	0.04895349838
654	0.04883521594
655	0.0487843693
656	0.04870466855
657	0.04865879056
658	0.04852050042
659	0.04846810179
660	0.04838871972
661	0.04826966769
662	0.04821251453
663	0.04817778547
664	0.04799509398
665	0.04794228941
666	0.04785054915
667	0.04782172163
668	0.04774487434
669	0.0476772383
670	0.04756240994
671	0.04749901504
672	0.04742259909
673	0.04732230491
674	0.04723348272
675	0.047131394
676	0.04707432883
677	0.0469929595
678	0.04684618172
679	0.04678326181
680	0.0467133923
681	0.0466340229
682	0.04649285382
683	0.04643258418
684	0.04639847425
685	0.04631288161
686	0.04621230953
687	0.04601859819
688	0.04590132098
689	0.04587282081
690	0.04569273219
691	0.04562877343
692	0.0454954687
693	0.04542630572
694	0.04534039455
695	0.04521913292
696	0.04517742634
697	0.04510703672
698	0.04505353954
699	0.04501480517
700	0.04490457301
701	0.04487319805
702	0.04472767571
703	0.04459958928
704	0.04451039143
705	0.04446917527
706	0.04440999455
707	0.04435285891
708	0.04427535165
709	0.04418948738
710	0.04415161823
711	0.04410849725
712	0.0440352915
713	0.04394665369
714	0.04388468834
715	0.04378191906
716	0.04375381546
717	0.04366354544
718	0.04357523524
719	0.04349301587
720	0.04340389244
721	0.04337915025
722	0.04334085951
723	0.04330836466
724	0.04326508053
725	0.04319994971
726	0.04315244474
727	0.04307005
728	0.04300774715
729	0.04298126271
730	0.0429409778
731	0.04291846561
732	0.04286624387
733	0.04271798892
734	0.04265320038
735	0.04258857314
736	0.04256926875
737	0.04247778701
738	0.04243824662
739	0.04240369817
740	0.04235893454
741	0.04228302812
742	0.04221264402
743	0.04215975924
744	0.04209071023
745	0.04198071097
746	0.04189843811
747	0.04182148451
748	0.04179999909
749	0.04174038148
750	0.04167154827
751	0.04159376749
752	0.04150951144
753	0.04144523572
754	0.04134175633
755	0.04129026479
756	0.04125429478
757	0.04121216352
758	0.04118235714
759	0.04115225814
760	0.04105898996
761	0.04099575581
762	0.04094751678
763	0.04090086434
764	0.04084536223
765	0.04075294537
766	0.04066377362
767	0.04060732339
768	0.04056733347
769	0.04053509407
770	0.04045313009
771	0.04041246402
772	0.04036655161
773	0.04030184629
774	0.04028292774
775	0.04014551481
776	0.04009773447
777	0.0400149013
778	0.03993645033
779	0.03987060199
780	0.03979105284
781	0.03968158784
782	0.03963073502
783	0.03957956801
784	0.03949448876
785	0.03935785786
786	0.03930885759
787	0.03925373304
788	0.03920557984
789	0.03911503955
790	0.03905293947
791	0.03901933166
792	0.03893418826
793	0.03889011875
794	0.03881788709
795	0.03874882264
796	0.03866576543
797	0.03860328669
798	0.03852981483
799	0.03849604037
800	0.03844870432
801	0.03840767587
802	0.03833849032
803	0.03830019272
804	0.03818952927
805	0.03815616829
806	0.03809869836
807	0.03795903546
808	0.03793534321
809	0.03787394323
810	0.03780550409
811	0.03771016591
812	0.03766537072
813	0.03762824023
814	0.03757536585
815	0.03750612855
816	0.0374441781
817	0.03738616604
818	0.03735980472
819	0.03731637982
820	0.03727267661
821	0.03722058809
822	0.03719369546
823	0.03717135481
824	0.03709003066
825	0.03704647103
826	0.03701134672
827	0.03695903947
828	0.03687875271
829	0.03683649188
830	0.0367805585
831	0.03675988921
832	0.03669584267
833	0.03664242271
834	0.03661603479
835	0.0365649356
836	0.03651960127
837	0.03639857249
838	0.0363498052
839	0.03629768424
840	0.03623723425
841	0.03617667529
842	0.03614054647
843	0.03600329073
844	0.03594581143
845	0.03591807128
846	0.03581630867
847	0.03580274861
848	0.0357219312
849	0.03569121324
850	0.03561501005
851	0.03554840405
852	0.035450662
853	0.0354200965
854	0.03536719503
855	0.03534552796
856	0.03529566384
857	0.03526123501
858	0.03521841727
859	0.03516092524
860	0.03511666646
861	0.03509723194
862	0.03505406147
863	0.03500777636
864	0.03496700638
865	0.03491161533
866	0.03484015376
867	0.03480871273
868	0.03474724496
869	0.03469162657
870	0.03461830924
871	0.03455374385
872	0.03449982044
873	0.03446327335
874	0.03437993506
875	0.034289063
876	0.03425516861
877	0.03421900912
878	0.03407424406
879	0.03401984857
880	0.03396896688
881	0.03391491366
882	0.03385039949
883	0.03374606569
884	0.03370104465
885	0.0336220151
886	0.03359075401
887	0.03347369599
888	0.03337292952
889	0.03329716224
890	0.03317678299
891	0.03308852581
892	0.03307582235
893	0.03296212851
894	0.03291814072
895	0.03280785713
896	0.03275827665
897	0.03272683489
898	0.03269901565
899	0.03262775936
900	0.03257575363
901	0.03253979155
902	0.03251358367
903	0.03248876085
904	0.03243471693
905	0.03240286017
906	0.03237762843
907	0.03235045432
908	0.03233173192
909	0.03229839029
910	0.03224107021
911	0.03221678029
912	0.03218298821
913	0.03213555638
914	0.03208117878
915	0.03202961463
916	0.03198345755
917	0.03195355197
918	0.03193721465
919	0.03189698444
920	0.03186460085
921	0.03179793355
922	0.03176717769
923	0.03172816183
924	0.03169822329
925	0.03168081738
926	0.03162573675
927	0.03155966405
928	0.03154056014
929	0.03150373795
930	0.03144638273
931	0.0313805744
932	0.03136112981
933	0.03130366062
934	0.03128125297
935	0.03121864149
936	0.03118175765
937	0.03113810256
938	0.03110755866
939	0.03105318634
940	0.03099535956
941	0.03093333296
942	0.03091262766
943	0.03085855474
944	0.0307789716
945	0.03074526928
946	0.03072526245
947	0.03070142687
948	0.03067667992
949	0.03063200313
950	0.03056918368
951	0.03050000021
952	0.03045540336
953	0.03043662904
954	0.03040373762
955	0.03037287898
956	0.03029819214
957	0.0302689232
958	0.03021848473
959	0.03017387342
960	0.03012457712
961	0.03008781809
962	0.03003452444
963	0.03001810796
964	0.0299971492
965	0.02996613407
966	0.02993719087
967	0.02992752233
968	0.02988563538
969	0.02986276819
970	0.02983205599
971	0.02980598772
972	0.02968388955
973	0.02965151706
974	0.02959830456
975	0.02958222957
976	0.02952303949
977	0.02949357675
978	0.02946317696
979	0.02940753037
980	0.02938682934
981	0.02934147657
982	0.02933549571
983	0.02926969388
984	0.02921669354
985	0.0291758116
986	0.02910211987
987	0.02903610476
988	0.02901333575
989	0.02897963527
990	0.02894198706
991	0.02893579478
992	0.02889853557
993	0.02885424866
994	0.02883848317
995	0.02881207088
996	0.02875558108
997	0.02871706561
998	0.02867350207
999	0.02864433287
